Time,RAM-Usage
06.07.2021 00:00:00,1081
06.07.2021 00:05:00,933
06.07.2021 00:10:00,991
06.07.2021 00:15:00,1938
06.07.2021 00:20:00,1305
06.07.2021 00:25:00,1037
06.07.2021 00:30:00,1144
06.07.2021 00:35:00,862
06.07.2021 00:40:00,843
06.07.2021 00:45:00,1034
06.07.2021 00:50:00,862
06.07.2021 00:55:00,802
06.07.2021 01:00:00,890
06.07.2021 01:05:00,893
06.07.2021 01:10:00,862
06.07.2021 01:15:00,950
06.07.2021 01:20:00,991
06.07.2021 01:25:00,966
06.07.2021 01:30:00,1209
06.07.2021 01:35:00,860
06.07.2021 01:40:00,893
06.07.2021 01:45:00,898
06.07.2021 01:50:00,928
06.07.2021 01:55:00,879
06.07.2021 02:00:00,884
06.07.2021 02:05:00,898
06.07.2021 02:10:00,838
06.07.2021 02:15:00,1015
06.07.2021 02:20:00,1015
06.07.2021 02:25:00,1048
06.07.2021 02:30:00,1097
06.07.2021 02:35:00,827
06.07.2021 02:40:00,1073
06.07.2021 02:45:00,884
06.07.2021 02:50:00,852
06.07.2021 02:55:00,1024
06.07.2021 03:00:00,860
06.07.2021 03:05:00,884
06.07.2021 03:10:00,911
06.07.2021 03:15:00,893
06.07.2021 03:20:00,901
06.07.2021 03:25:00,977
06.07.2021 03:30:00,1070
06.07.2021 03:35:00,974
06.07.2021 03:40:00,860
06.07.2021 03:45:00,895
06.07.2021 03:50:00,876
06.07.2021 03:55:00,819
06.07.2021 04:00:00,920
06.07.2021 04:05:00,985
06.07.2021 04:10:00,1089
06.07.2021 04:15:00,909
06.07.2021 04:20:00,942
06.07.2021 04:25:00,1065
06.07.2021 04:30:00,1217
06.07.2021 04:35:00,854
06.07.2021 04:40:00,909
06.07.2021 04:45:00,884
06.07.2021 04:50:00,942
06.07.2021 04:55:00,895
06.07.2021 05:00:00,958
06.07.2021 05:05:00,860
06.07.2021 05:10:00,819
06.07.2021 05:15:00,966
06.07.2021 05:20:00,1032
06.07.2021 05:25:00,1040
06.07.2021 05:30:00,1155
06.07.2021 05:35:00,966
06.07.2021 05:40:00,852
06.07.2021 05:45:00,958
06.07.2021 05:50:00,835
06.07.2021 05:55:00,909
06.07.2021 06:00:00,920
06.07.2021 06:05:00,808
06.07.2021 06:10:00,901
06.07.2021 06:15:00,860
06.07.2021 06:20:00,1053
06.07.2021 06:25:00,944
06.07.2021 06:30:00,1135
06.07.2021 06:35:00,1089
06.07.2021 06:40:00,914
06.07.2021 06:45:00,928
06.07.2021 06:50:00,1021
06.07.2021 06:55:00,909
06.07.2021 07:00:00,920
06.07.2021 07:05:00,961
06.07.2021 07:10:00,1299
06.07.2021 07:15:00,1141
06.07.2021 07:20:00,909
06.07.2021 07:25:00,1032
06.07.2021 07:30:00,1239
06.07.2021 07:35:00,942
06.07.2021 07:40:00,972
06.07.2021 07:45:00,1122
06.07.2021 07:50:00,1299
06.07.2021 07:55:00,1237
06.07.2021 08:00:00,1130
06.07.2021 08:05:00,1228
06.07.2021 08:10:00,1081
06.07.2021 08:15:00,1220
06.07.2021 08:20:00,1097
06.07.2021 08:25:00,1040
06.07.2021 08:30:00,1138
06.07.2021 08:35:00,1146
06.07.2021 08:40:00,1007
06.07.2021 08:45:00,972
06.07.2021 08:50:00,1004
06.07.2021 08:55:00,1127
06.07.2021 09:00:00,903
06.07.2021 09:05:00,1086
06.07.2021 09:10:00,1103
06.07.2021 09:15:00,955
06.07.2021 09:20:00,1250
06.07.2021 09:25:00,1228
06.07.2021 09:30:00,1179
06.07.2021 09:35:00,961
06.07.2021 09:40:00,922
06.07.2021 09:45:00,1001
06.07.2021 09:50:00,868
06.07.2021 09:55:00,840
06.07.2021 10:00:00,961
06.07.2021 10:05:00,911
06.07.2021 10:10:00,1056
06.07.2021 10:15:00,1185
06.07.2021 10:20:00,1103
06.07.2021 10:25:00,1097
06.07.2021 10:30:00,1266
06.07.2021 10:35:00,1351
06.07.2021 10:40:00,1220
06.07.2021 10:45:00,1083
06.07.2021 10:50:00,1155
06.07.2021 10:55:00,1024
06.07.2021 11:00:00,950
06.07.2021 11:05:00,1042
